PyHEARTS Output Variables Reference (per‑cycle CSV),,
"The table lists each column emitted by *_pyhearts.csv, with a plain‑language description and how it is computed in the toolbox. For all threshold and species-specific values, see Python object: ProcessCycleConfig.",,
Q_gauss_stdev_samples,Q wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
Q_gauss_stdev_ms,Q wave Gaussian σ (ms),σ(samples)×(1000/fs)
Q_gauss_fwhm_samples,Q wave Gaussian FWHM (samples.,2√(2 ln 2)·σ
Q_gauss_fwhm_ms,Q wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
Q_center_voltage,Q wave amplitude at center (mV),Detrended signal value at center_idx
Q_le_voltage,Q wave amplitude at left edge (mV),Detrended signal at le_idx
Q_ri_voltage,Q wave amplitude at right edge (mV),Detrended signal at ri_idx
Q_duration_ms,Q wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
Q_rise_ms,Q wave rise time (ms),(center_idx − le_idx) × (1000/fs)
Q_decay_ms,Q wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
Q_rdsm,Q wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
Q_sharpness,Q wave sharpness (normalized),"95th percentile of |dV/dt| between Q_le_idx and Q_ri_idx, normalized by (Q_center_voltage − baseline)."
Q_voltage_integral_uv_ms,Q wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
R_center_idx,R peak center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
R_le_idx,R peak left edge (relative index),"Search left from R center until signal ≤ baseline + 0.30 × (R_center − baseline) (R positive), subject to minimum duration"
R_ri_idx,R peak right edge (relative index),"Search right from R center until signal ≤ baseline + 0.30 × (R_center − baseline) (R positive), subject to minimum duration"
R_gauss_center,R peak Gaussian center (samples),Fitted μ from curve_fit
R_gauss_height,R peak Gaussian amplitude (mV),Fitted peak height on detrended signal
R_gauss_stdev_samples,R peak Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
R_gauss_stdev_ms,R peak Gaussian σ (ms),σ(samples)×(1000/fs)
R_gauss_fwhm_samples,R peak Gaussian FWHM (samples),2√(2 ln 2)·σ
R_gauss_fwhm_ms,R peak Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
R_center_voltage,R peak amplitude at center (mV),Detrended signal value at center_idx
R_le_voltage,R peak amplitude at left edge (mV),Detrended signal at le_idx
R_ri_voltage,R peak amplitude at right edge (mV),Detrended signal at ri_idx
R_duration_ms,R peak duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
R_rise_ms,R peak rise time (ms),(center_idx − le_idx) × (1000/fs)
R_decay_ms,R peak decay time (ms),(ri_idx − center_idx) × (1000/fs)
R_rdsm,R peak rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
R_sharpness,R peak sharpness (normalized),"5th percentile of |dV/dt| between R_le_idx and R_ri_idx, normalized by (R_center_voltage − baseline)"
R_voltage_integral_uv_ms,R peak voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
S_center_idx,S wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
S_le_idx,S wave left edge (relative index),"Search left from S center until signal ≥ baseline + 0.30 × (S_center − baseline) (S negative), subject to minimum duration"
S_ri_idx,S wave right edge (relative index),"Search right from S center until signal ≥ baseline + 0.30 × (S_center − baseline) (S negative), subject to minimum duration"
S_gauss_center,S wave Gaussian center (samples),Fitted μ from curve_fit
S_gauss_height,S wave Gaussian amplitude (mV),Fitted peak height on detrended signal
S_gauss_stdev_samples,S wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
S_gauss_stdev_ms,S wave Gaussian σ (ms),σ(samples)×(1000/fs)
S_gauss_fwhm_samples,S wave Gaussian FWHM (samples),2√(2 ln 2)·σ
S_gauss_fwhm_ms,S wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
S_center_voltage,S wave amplitude at center (mV),Detrended signal value at center_idx
S_le_voltage,S wave amplitude at left edge (mV),Detrended signal at le_idx
S_ri_voltage,S wave amplitude at right edge (mV),Detrended signal at ri_idx
S_duration_ms,S wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
S_rise_ms,S wave rise time (ms),(center_idx − le_idx) × (1000/fs)
S_decay_ms,S wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
S_rdsm,S wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
S_sharpness,S wave sharpness (normalized),"95th percentile of |dV/dt| between S_le_idx and S_ri_idx, normalized by (baseline − S_center_voltage)"
S_voltage_integral_uv_ms,S wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
T_center_idx,T wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
T_le_idx,T wave left edge (relative index),"Search left from T center until signal ≤ baseline + 0.30 × (T_center − baseline) (T positive), subject to minimum duration"
T_ri_idx,T wave right edge (relative index),"Search right from T center until signal ≤ baseline + 0.30 × (T_center − baseline) (T positive), subject to minimum duration"
T_gauss_center,T wave Gaussian center (samples),Fitted μ from curve_fit
T_gauss_height,T wave Gaussian amplitude (mV).,Fitted peak height on detrended signal.
T_gauss_stdev_samples,T wave Gaussian σ (samples).,"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples."
T_gauss_stdev_ms,T wave Gaussian σ (ms).,σ(samples)×(1000/fs).
T_gauss_fwhm_samples,T wave Gaussian FWHM (samples).,2√(2 ln 2)·σ.
T_gauss_fwhm_ms,T wave Gaussian FWHM (ms).,FWHM(samples)×(1000/fs).
T_center_voltage,T wave amplitude at center (mV),Detrended signal value at center_idx
T_le_voltage,T wave amplitude at left edge (mV),Detrended signal at le_idx
T_ri_voltage,T wave amplitude at right edge (mV),Detrended signal at ri_idx
T_duration_ms,T wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
T_rise_ms,T wave rise time (ms),(center_idx − le_idx) × (1000/fs)
T_decay_ms,T wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
T_rdsm,T wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
T_sharpness,T wave sharpness (normalized),"95th percentile of |dV/dt| between T_le_idx and T_ri_idx, normalized by (T_center_voltage − baseline)"
T_voltage_integral_uv_ms,T wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
PR_interval_ms,PR interval duration (ms),T_ms(Q_le) − T_ms(P_le); imputed if edges missing; gated to physiologic limits
PR_segment_ms,PR segment duration (ms),T_ms(Q_le) − T_ms(P_ri)
QRS_interval_ms,QRS duration (ms),T_ms(S_ri) − T_ms(Q_le)
ST_segment_ms,ST segment duration (ms),T_ms(T_le) − T_ms(S_ri)
ST_interval_ms,ST interval duration (ms),T_ms(T_ri) − T_ms(S_ri)
QT_interval_ms,QT interval duration (ms),T_ms(T_ri) − T_ms(Q_le)
R_minus_S_voltage_diff_signed,Signed voltage difference R − S,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
R_minus_P_voltage_diff_signed,Signed voltage difference R − P,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
T_minus_R_voltage_diff_signed,Signed voltage difference T − R,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
RR_interval_ms,RR interval between successive R centers (ms),Δsamples(R_global_center) × (1000/fs); gated to rr_bounds_ms
PP_interval_ms,PP interval between successive P centers (ms),Δsamples(P_global_center) × (1000/fs); gated to pp_bounds_ms (defaults to rr_bounds_ms)
Heart Rate Variability Features,Description,Calculation
average_heart_rate,Mean heart rate in beats per minute (bpm),"HRᵢ = 60 ÷ (RRᵢ / 1000), where RRᵢ is the i-th NN interval in milliseconds. The average heart rate is then: HR̄ = (1/N) × Σ HRᵢ over all N beats"
sdnn,"Standard deviation of NN (normal-to-normal) intervals, in ms",Computed directly from the cleaned RR intervals: SDNN = sqrt( (1 / (N − 1)) * Σ from i=1 to N of (RR(i) − mean(RR))2 where mean(RR) is the average of the RR intervals.
rmssd,Root mean square of successive differences,Compute the successive differences: di = RR(i+1) − RR(i). Then compute the root mean square of successive differences (RMSSD): RMSSD = sqrt( (1 / (N − 1)) * Σ from i=1 to N−1 of (di2) )
nn50,Number of successive RR differences greater than 50 ms,"Count how many satisfy: NN50 = Σ from i=1 to N−1 of 1(di > 50 ms), where 1(condition) is an indicator function that equals 1 if the condition is true and 0 otherwise"
