Feature Name,Description,Calculation
P_decay_ms,P wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
P_rdsm,P wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
P_sharpness,P wave sharpness (normalized),"95th percentile of |dV/dt| between P_le_idx and P_ri_idx, normalized by (P_center_voltage − baseline)"
P_max_upslope_mv_per_s,P maximum upslope (mV/s),max(diff(signal[le_idx:center_idx]) / dt)
P_max_downslope_mv_per_s,P maximum downslope (mV/s),min(diff(signal[center_idx:ri_idx]) / dt)
P_slope_asymmetry,P slope asymmetry (unitless),abs(max_upslope) / abs(max_downslope)
P_voltage_integral_uv_ms,P wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
Q_global_center_idx,Q wave center (absolute sample index),xs_samples[center_idx] after center refinement
Q_global_le_idx,Q wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
Q_global_ri_idx,Q wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
Q_center_ms,Q wave center time (ms),(global_center_idx/fs)×1000
Q_le_ms,Q wave left-edge time (ms),(global_le_idx/fs)×1000
Q_ri_ms,Q wave right-edge time (ms),(global_ri_idx/fs)×1000
Q_center_idx,Q wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
Q_le_idx,Q wave left edge (relative index),"Search left from Q center until signal ≥ baseline + 0.30 × (Q_center − baseline) (Q negative), subject to minimum duration"
Q_ri_idx,Q wave right edge (relative index),"Search right from Q center until signal ≥ baseline + 0.30 × (Q_center − baseline) (Q negative), subject to minimum duration"
Q_gauss_center,Q wave Gaussian center (samples),Fitted μ from curve_fit
Q_gauss_height,Q wave Gaussian amplitude (mV),Fitted peak height on detrended signal
Q_gauss_stdev_samples,Q wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
Q_gauss_stdev_ms,Q wave Gaussian σ (ms),σ(samples)×(1000/fs)
Q_gauss_fwhm_samples,Q wave Gaussian FWHM (samples.,2√(2 ln 2)·σ
Q_gauss_fwhm_ms,Q wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
Q_fwhm_le_idx,Q FWHM-based left edge (cycle-relative samples),gauss_center - (gauss_fwhm_samples/2)
Q_fwhm_ri_idx,Q FWHM-based right edge (cycle-relative samples),gauss_center + (gauss_fwhm_samples/2)
Q_fwhm_le_ms,Q FWHM-based left edge time (ms),(fwhm_le_idx / sampling_rate) * 1000
Q_fwhm_ri_ms,Q FWHM-based right edge time (ms),(fwhm_ri_idx / sampling_rate) * 1000
Q_fwhm_global_le_idx,Q FWHM-based left edge (absolute sample index),xs_samples[int(round(fwhm_le_idx))]
Q_fwhm_global_ri_idx,Q FWHM-based right edge (absolute sample index),xs_samples[int(round(fwhm_ri_idx))]
Q_center_voltage,Q wave amplitude at center (mV),Detrended signal value at center_idx
Q_le_voltage,Q wave amplitude at left edge (mV),Detrended signal at le_idx
Q_ri_voltage,Q wave amplitude at right edge (mV),Detrended signal at ri_idx
Q_duration_ms,Q wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
Q_rise_ms,Q wave rise time (ms),(center_idx − le_idx) × (1000/fs)
Q_decay_ms,Q wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
Q_rdsm,Q wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
Q_sharpness,Q wave sharpness (normalized),"95th percentile of |dV/dt| between Q_le_idx and Q_ri_idx, normalized by (Q_center_voltage − baseline)."
Q_max_upslope_mv_per_s,Q maximum upslope (mV/s),max(diff(signal[le_idx:center_idx]) / dt)
Q_max_downslope_mv_per_s,Q maximum downslope (mV/s),min(diff(signal[center_idx:ri_idx]) / dt)
Q_slope_asymmetry,Q slope asymmetry (unitless),abs(max_upslope) / abs(max_downslope)
Q_voltage_integral_uv_ms,Q wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
R_global_center_idx,R peak center (absolute sample index),xs_samples[center_idx] after center refinement
R_global_le_idx,R peak left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
R_global_ri_idx,R peak right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
R_center_ms,R peak center time (ms),(global_center_idx/fs)×1000
R_le_ms,R peak left-edge time (ms),(global_le_idx/fs)×1000
R_ri_ms,R peak right-edge time (ms),(global_ri_idx/fs)×1000
R_center_idx,R peak center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
R_le_idx,R peak left edge (relative index),"Search left from R center until signal ≤ baseline + 0.30 × (R_center − baseline) (R positive), subject to minimum duration"
R_ri_idx,R peak right edge (relative index),"Search right from R center until signal ≤ baseline + 0.30 × (R_center − baseline) (R positive), subject to minimum duration"
R_gauss_center,R peak Gaussian center (samples),Fitted μ from curve_fit
R_gauss_height,R peak Gaussian amplitude (mV),Fitted peak height on detrended signal
R_gauss_stdev_samples,R peak Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
R_gauss_stdev_ms,R peak Gaussian σ (ms),σ(samples)×(1000/fs)
R_gauss_fwhm_samples,R peak Gaussian FWHM (samples),2√(2 ln 2)·σ
R_gauss_fwhm_ms,R peak Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
R_fwhm_le_idx,R FWHM-based left edge (cycle-relative samples),gauss_center - (gauss_fwhm_samples/2)
R_fwhm_ri_idx,R FWHM-based right edge (cycle-relative samples),gauss_center + (gauss_fwhm_samples/2)
R_fwhm_le_ms,R FWHM-based left edge time (ms),(fwhm_le_idx / sampling_rate) * 1000
R_fwhm_ri_ms,R FWHM-based right edge time (ms),(fwhm_ri_idx / sampling_rate) * 1000
R_fwhm_global_le_idx,R FWHM-based left edge (absolute sample index),xs_samples[int(round(fwhm_le_idx))]
R_fwhm_global_ri_idx,R FWHM-based right edge (absolute sample index),xs_samples[int(round(fwhm_ri_idx))]
R_center_voltage,R peak amplitude at center (mV),Detrended signal value at center_idx
R_le_voltage,R peak amplitude at left edge (mV),Detrended signal at le_idx
R_ri_voltage,R peak amplitude at right edge (mV),Detrended signal at ri_idx
R_duration_ms,R peak duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
R_rise_ms,R peak rise time (ms),(center_idx − le_idx) × (1000/fs)
R_decay_ms,R peak decay time (ms),(ri_idx − center_idx) × (1000/fs)
R_rdsm,R peak rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
R_sharpness,R peak sharpness (normalized),"5th percentile of |dV/dt| between R_le_idx and R_ri_idx, normalized by (R_center_voltage − baseline)"
R_max_upslope_mv_per_s,R maximum upslope (mV/s),max(diff(signal[le_idx:center_idx]) / dt)
R_max_downslope_mv_per_s,R maximum downslope (mV/s),min(diff(signal[center_idx:ri_idx]) / dt)
R_slope_asymmetry,R slope asymmetry (unitless),abs(max_upslope) / abs(max_downslope)
R_voltage_integral_uv_ms,R peak voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
S_global_center_idx,S wave center (absolute sample index),xs_samples[center_idx] after center refinement
S_global_le_idx,S wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
S_global_ri_idx,S wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
S_center_ms,S wave center time (ms),(global_center_idx/fs)×1000
S_le_ms,S wave left-edge time (ms),(global_le_idx/fs)×1000
S_ri_ms,S wave right-edge time (ms),(global_ri_idx/fs)×1000
S_center_idx,S wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
S_le_idx,S wave left edge (relative index),"Search left from S center until signal ≥ baseline + 0.30 × (S_center − baseline) (S negative), subject to minimum duration"
S_ri_idx,S wave right edge (relative index),"Search right from S center until signal ≥ baseline + 0.30 × (S_center − baseline) (S negative), subject to minimum duration"
S_gauss_center,S wave Gaussian center (samples),Fitted μ from curve_fit
S_gauss_height,S wave Gaussian amplitude (mV),Fitted peak height on detrended signal
S_gauss_stdev_samples,S wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
S_gauss_stdev_ms,S wave Gaussian σ (ms),σ(samples)×(1000/fs)
S_gauss_fwhm_samples,S wave Gaussian FWHM (samples),2√(2 ln 2)·σ
S_gauss_fwhm_ms,S wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
S_fwhm_le_idx,S FWHM-based left edge (cycle-relative samples),gauss_center - (gauss_fwhm_samples/2)
S_fwhm_ri_idx,S FWHM-based right edge (cycle-relative samples),gauss_center + (gauss_fwhm_samples/2)
S_fwhm_le_ms,S FWHM-based left edge time (ms),(fwhm_le_idx / sampling_rate) * 1000
S_fwhm_ri_ms,S FWHM-based right edge time (ms),(fwhm_ri_idx / sampling_rate) * 1000
S_fwhm_global_le_idx,S FWHM-based left edge (absolute sample index),xs_samples[int(round(fwhm_le_idx))]
S_fwhm_global_ri_idx,S FWHM-based right edge (absolute sample index),xs_samples[int(round(fwhm_ri_idx))]
S_center_voltage,S wave amplitude at center (mV),Detrended signal value at center_idx
S_le_voltage,S wave amplitude at left edge (mV),Detrended signal at le_idx
S_ri_voltage,S wave amplitude at right edge (mV),Detrended signal at ri_idx
S_duration_ms,S wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
S_rise_ms,S wave rise time (ms),(center_idx − le_idx) × (1000/fs)
S_decay_ms,S wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
S_rdsm,S wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
S_sharpness,S wave sharpness (normalized),"95th percentile of |dV/dt| between S_le_idx and S_ri_idx, normalized by (baseline − S_center_voltage)"
S_max_upslope_mv_per_s,S maximum upslope (mV/s),max(diff(signal[le_idx:center_idx]) / dt)
S_max_downslope_mv_per_s,S maximum downslope (mV/s),min(diff(signal[center_idx:ri_idx]) / dt)
S_slope_asymmetry,S slope asymmetry (unitless),abs(max_upslope) / abs(max_downslope)
S_voltage_integral_uv_ms,S wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
T_global_center_idx,T wave center (absolute sample index),xs_samples[center_idx] after center refinement
T_global_le_idx,T wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
T_global_ri_idx,T wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
T_center_ms,T wave center time (ms),(global_center_idx/fs)×1000
T_le_ms,T wave left-edge time (ms),(global_le_idx/fs)×1000
T_ri_ms,T wave right-edge time (ms),(global_ri_idx/fs)×1000
T_center_idx,T wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
T_le_idx,T wave left edge (relative index),"Search left from T center until signal ≤ baseline + 0.30 × (T_center − baseline) (T positive), subject to minimum duration"
T_ri_idx,T wave right edge (relative index),"Search right from T center until signal ≤ baseline + 0.30 × (T_center − baseline) (T positive), subject to minimum duration"
T_gauss_center,T wave Gaussian center (samples),Fitted μ from curve_fit
T_gauss_height,T wave Gaussian amplitude (mV).,Fitted peak height on detrended signal.
T_gauss_stdev_samples,T wave Gaussian σ (samples).,"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples."
T_gauss_stdev_ms,T wave Gaussian σ (ms).,σ(samples)×(1000/fs).
T_gauss_fwhm_samples,T wave Gaussian FWHM (samples).,2√(2 ln 2)·σ.
T_gauss_fwhm_ms,T wave Gaussian FWHM (ms).,FWHM(samples)×(1000/fs).
T_fwhm_le_idx,T FWHM-based left edge (cycle-relative samples),gauss_center - (gauss_fwhm_samples/2)
T_fwhm_ri_idx,T FWHM-based right edge (cycle-relative samples),gauss_center + (gauss_fwhm_samples/2)
T_fwhm_le_ms,T FWHM-based left edge time (ms),(fwhm_le_idx / sampling_rate) * 1000
T_fwhm_ri_ms,T FWHM-based right edge time (ms),(fwhm_ri_idx / sampling_rate) * 1000
T_fwhm_global_le_idx,T FWHM-based left edge (absolute sample index),xs_samples[int(round(fwhm_le_idx))]
T_fwhm_global_ri_idx,T FWHM-based right edge (absolute sample index),xs_samples[int(round(fwhm_ri_idx))]
T_center_voltage,T wave amplitude at center (mV),Detrended signal value at center_idx
T_le_voltage,T wave amplitude at left edge (mV),Detrended signal at le_idx
T_ri_voltage,T wave amplitude at right edge (mV),Detrended signal at ri_idx
T_duration_ms,T wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
T_rise_ms,T wave rise time (ms),(center_idx − le_idx) × (1000/fs)
T_decay_ms,T wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
T_rdsm,T wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
T_sharpness,T wave sharpness (normalized),"95th percentile of |dV/dt| between T_le_idx and T_ri_idx, normalized by (T_center_voltage − baseline)"
T_max_upslope_mv_per_s,T maximum upslope (mV/s),max(diff(signal[le_idx:center_idx]) / dt)
T_max_downslope_mv_per_s,T maximum downslope (mV/s),min(diff(signal[center_idx:ri_idx]) / dt)
T_slope_asymmetry,T slope asymmetry (unitless),abs(max_upslope) / abs(max_downslope)
T_voltage_integral_uv_ms,T wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
PR_interval_ms,PR interval duration (ms),T_ms(Q_le) − T_ms(P_le); imputed if edges missing; gated to physiologic limits
PR_segment_ms,PR segment duration (ms),T_ms(Q_le) − T_ms(P_ri)
QRS_interval_ms,QRS duration (ms),T_ms(S_ri) − T_ms(Q_le)
ST_segment_ms,ST segment duration (ms),T_ms(T_le) − T_ms(S_ri)
ST_interval_ms,ST interval duration (ms),T_ms(T_ri) − T_ms(S_ri)
QT_interval_ms,QT interval duration (ms),T_ms(T_ri) − T_ms(Q_le)
PP_interval_ms,PP interval between successive P centers (ms),Δsamples(P_global_center) × (1000/fs); gated to pp_bounds_ms (defaults to rr_bounds_ms)
RR_interval_ms,RR interval between successive R centers (ms),Δsamples(R_global_center) × (1000/fs); gated to rr_bounds_ms
QTc_Bazett_ms,QTc (Bazett) (ms),QT_interval_ms / sqrt(RR_interval_ms/1000)
QTc_Fridericia_ms,QTc (Fridericia) (ms),QT_interval_ms / (RR_interval_ms/1000)^(1/3)
QTc_Framingham_ms,QTc (Framingham) (ms),QT_interval_ms + 0.154*(1000 - RR_interval_ms)
ST_elevation_mv,ST elevation at J+60ms (mV),Voltage at S_ri_idx + 60ms (clipped to ST end)
ST_slope_mv_per_s,ST slope (mV/s),Linear regression slope over ST segment (S end → T start)
ST_deviation_mv,ST deviation from baseline (mV),ST_elevation_mv - baseline (median PR segment or fallback)
R_minus_S_voltage_diff_signed,Signed voltage difference R − S,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
R_minus_P_voltage_diff_signed,Signed voltage difference R − P,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
T_minus_R_voltage_diff_signed,Signed voltage difference T − R,Difference of Gaussian peak amplitudes: amp(A) − amp(B) from fitted detrended signal
